# 번호	슬러그	파일	표시폭	표시높이	원본폭	원본높이
001	brew-a	hero-1.jpg	960	540	1920	1080
002	brew-a	hero-2.jpg	960	540	1920	1080
003	brew-a	hero-3.jpg	960	540	1920	1080
004	brew-a	hero-1-m.jpg	390	570	780	1141
005	brew-a	hero-2-m.jpg	390	570	780	1141
006	brew-a	hero-3-m.jpg	390	570	780	1141
007	brew-a	hero-1-thumb.jpg	110	72	220	144
008	brew-a	hero-2-thumb.jpg	110	72	220	144
009	brew-a	hero-3-thumb.jpg	110	72	220	144
010	brew-a	tale.jpg	960	540	1920	1080
011	brew-a	secret-1.jpg	960	540	1920	1080
012	brew-a	secret-2.jpg	960	540	1920	1080
013	brew-a	secret-3.jpg	960	540	1920	1080
014	brew-a	craft-bg.jpg	960	764	1920	1528
015	brew-a	invite-bg.jpg	920	480	1840	960
016	brew-a	invite-pack.png	490	620	980	1240
017	brew-a	brand-wall.jpg	960	600	1920	1200
018	brew-a	brand-color.jpg	700	490	1400	980
019	brew-a	brand-color-1.jpg	160	160	320	320
020	brew-a	brand-color-2.jpg	160	160	320	320
021	brew-a	brand-renew.jpg	960	720	1920	1440
022	brew-a	brand-taste.jpg	580	440	1160	880
023	brew-a	brand-history.jpg	480	480	960	960
024	brew-a	taste-intro.jpg	960	600	1920	1200
025	brew-a	taste-media.jpg	960	615	1920	1230
026	brew-a	taste-1.jpg	475	295	950	590
027	brew-a	taste-2.jpg	475	295	950	590
028	brew-a	taste-3.jpg	475	295	950	590
029	brew-a	taste-4.jpg	475	295	950	590
030	brew-a	taste-5.jpg	475	295	950	590
031	brew-a	taste-glass.jpg	800	400	1600	800
032	brew-a	haedam-350.png	250	400	500	800
033	brew-a	haedam-500.png	250	400	500	800
034	brew-a	haedam-draft.png	250	400	500	800
035	brew-a	history-top.jpg	960	650	1920	1300
036	brew-a	history-1.jpg	479	285	958	570
037	brew-a	history-2.jpg	479	285	958	570
038	brew-a	history-3.jpg	479	285	958	570
039	brew-a	history-4.jpg	479	285	958	570
040	brew-a	history-5.jpg	479	285	958	570
041	brew-a	history-6.jpg	479	285	958	570
042	brew-a	history-7.jpg	479	285	958	570
043	brew-a	history-8.jpg	479	285	958	570
044	brew-a	history-9.jpg	479	285	958	570
045	brew-a	history-10.jpg	479	285	958	570
046	brew-a	history-11.jpg	479	285	958	570
047	brew-a	history-12.jpg	479	285	958	570
048	brew-a	history-13.jpg	479	285	958	570
049	brew-a	history-14.jpg	479	285	958	570
050	brew-a	history-15.jpg	479	285	958	570
051	brew-a	history-16.jpg	479	285	958	570
052	brew-a	history-17.jpg	479	285	958	570
053	brew-a	history-18.jpg	479	285	958	570
054	brew-a	history-19.jpg	479	285	958	570
055	brew-a	history-20.jpg	479	285	958	570
056	brew-a	history-21.jpg	479	285	958	570
057	brew-a	history-22.jpg	479	285	958	570
058	brew-a	history-23.jpg	479	285	958	570
059	brew-a	history-24.jpg	479	285	958	570
060	brew-a	history-25.jpg	479	285	958	570
061	brew-a	history-26.jpg	479	285	958	570
062	brew-a	discover-cover.jpg	960	600	1920	1200
063	brew-a	discover-panel.jpg	960	450	1920	900
064	brew-a	discover-1.jpg	160	160	320	320
065	brew-a	discover-2.jpg	160	160	320	320
066	brew-a	discover-3.jpg	160	160	320	320
067	brew-a	finder-map.jpg	960	720	1920	1440
068	brew-a	haedam-gift.png	250	400	500	800
069	brew-a	master-hero.jpg	960	420	1920	840
070	brew-a	master-intro.jpg	960	531	1920	1062
071	brew-a	master-ratio-bg.jpg	960	620	1920	1240
072	brew-a	master-glass.png	310	620	620	1240
073	brew-a	master-find.jpg	960	620	1920	1240
074	brew-a	brewery-cover.jpg	960	1200	1920	2400
075	brew-a	brewery-prologue.jpg	450	392	900	784
076	brew-a	brewery-space-1.jpg	700	560	1400	1120
077	brew-a	brewery-space-2.jpg	700	560	1400	1120
078	brew-a	brewery-space-3.jpg	700	560	1400	1120
079	brew-a	brewery-beer-1.jpg	500	300	1000	600
080	brew-a	brewery-beer-2.jpg	500	300	1000	600
081	brew-a	brewery-map.jpg	800	480	1600	960
082	brew-a	camp-first.jpg	960	540	1920	1080
083	brew-a	camp-pouring.jpg	960	540	1920	1080
084	brew-a	camp-premium.jpg	960	540	1920	1080
085	brew-a	camp-master.jpg	960	540	1920	1080
086	brew-a	camp-pairing.jpg	960	540	1920	1080
087	brew-a	camp-anniv.jpg	960	540	1920	1080
088	brew-a	camp-winter.jpg	960	540	1920	1080
089	brew-a	camp-story-1.jpg	700	520	1400	1040
090	brew-a	camp-story-2.jpg	700	520	1400	1040
091	brew-a	camp-story-3.jpg	700	520	1400	1040
092	brew-a	og.jpg	600	315	1200	630
