# clinic-f 결온의원 사진 대응표
# 번호 | 용도 슬러그 | 파일명 | 표시 크기(px, 대표 뷰) | 생성 크기(px)
01 | og-share | og.jpg | 1200x630 | 1200x630
02 | main-hero-balance | hero-1.jpg | 1920x1000 | 1920x1000
03 | main-hero-consult | hero-2.jpg | 1920x1000 | 1920x1000
04 | story-silhouette | story-1.jpg | 680x1060 | 1360x2120
05 | story-fabric | story-2.jpg | 760x420 | 1520x840
06 | story-wave | story-3.jpg | 836x560 | 1672x1120
07 | why-focus | why-1.jpg | 872x480 | 1744x960
08 | why-space | why-2.jpg | 872x480 | 1744x960
09 | why-consult | why-3.jpg | 872x480 | 1744x960
10 | why-device | why-4.jpg | 872x480 | 1744x960
11 | main-wave-program | wave-main.jpg | 1664x952 | 1664x952
12 | main-shot-program | shot-main.jpg | 1664x952 | 1664x952
13 | director-torso | doctor.jpg | 720x920 | 1440x1840
14 | facility-lobby | facility-1.jpg | 880x1040 | 880x1040
15 | facility-reception | facility-2.jpg | 880x1040 | 880x1040
16 | facility-consult | facility-3.jpg | 880x1040 | 880x1040
17 | facility-treatment | facility-4.jpg | 880x1040 | 880x1040
18 | facility-corridor | facility-5.jpg | 880x1040 | 880x1040
19 | facility-detail | facility-6.jpg | 880x1040 | 880x1040
20 | reservation-water | contact-bg.jpg | 1920x720 | 1920x720
21 | director-visual | doctor-visual.jpg | 1920x820 | 1920x820
22 | staff-why-focus | staff-why-1.jpg | 1120x620 | 1120x620
23 | staff-why-texture | staff-why-2.jpg | 1120x620 | 1120x620
24 | staff-why-consult | staff-why-3.jpg | 1120x620 | 1120x620
25 | staff-why-light | staff-why-4.jpg | 1120x620 | 1120x620
26 | wave-hero | wave-hero.jpg | 960x1120 | 960x1120
27 | wave-equipment | wave-equipment.jpg | 840x900 | 840x900
28 | wave-body-guide | wave-body.jpg | 1440x900 | 1440x900
29 | wave-benefit-abdomen | benefit-1.jpg | 860x560 | 1720x1120
30 | wave-benefit-leg | benefit-2.jpg | 860x560 | 1720x1120
31 | wave-benefit-arm | benefit-3.jpg | 860x560 | 1720x1120
32 | wave-result-waist | result-1.jpg | 720x520 | 1440x1040
33 | wave-result-arm | result-2.jpg | 720x520 | 1440x1040
34 | wave-result-leg | result-3.jpg | 720x520 | 1440x1040
35 | wave-result-daily | result-4.jpg | 720x520 | 1440x1040
36 | shot-hero | shot-hero.jpg | 960x1120 | 960x1120
37 | shot-body-guide | shot-body.jpg | 1440x900 | 1440x900
38 | shot-recommend-abdomen | shot-reco-1.jpg | 860x560 | 1720x1120
39 | shot-recommend-leg | shot-reco-2.jpg | 860x560 | 1720x1120
40 | shot-recommend-arm | shot-reco-3.jpg | 860x560 | 1720x1120
41 | shot-change-body | shot-change-1.jpg | 720x520 | 1440x1040
42 | shot-change-arm | shot-change-2.jpg | 720x520 | 1440x1040
43 | shot-change-cellulite | shot-change-3.jpg | 720x520 | 1440x1040
44 | shot-change-treatment | shot-change-4.jpg | 720x520 | 1440x1040
45 | wave-shot-combination | wave-shot.jpg | 1500x760 | 1500x760
