# 번호	슬러그	파일	표시폭	표시높이	원본폭	원본높이
001	clinic-g	hero-1.jpg	960	600	1920	1200
002	clinic-g	hero-2.jpg	960	600	1920	1200
003	clinic-g	hero-3.jpg	960	600	1920	1200
004	clinic-g	hero-4.jpg	960	600	1920	1200
005	clinic-g	hero-5.jpg	960	600	1920	1200
006	clinic-g	perf-1.jpg	385	645	770	1290
007	clinic-g	field-1.jpg	550	200	1100	400
008	clinic-g	field-2.jpg	550	200	1100	400
009	clinic-g	field-3.jpg	550	200	1100	400
010	clinic-g	tv-main.jpg	450	253	900	506
011	clinic-g	tv-1.jpg	195	110	390	220
012	clinic-g	tv-2.jpg	195	110	390	220
013	clinic-g	tv-3.jpg	195	110	390	220
014	clinic-g	short-1.jpg	200	356	400	712
015	clinic-g	short-2.jpg	200	356	400	712
016	clinic-g	net-map.jpg	960	565	1920	1130
017	clinic-g	og.jpg	600	315	1200	630
018	clinic-g	ba-1-before.jpg	290	330	580	660
019	clinic-g	ba-1-after.jpg	290	330	580	660
020	clinic-g	ba-2-before.jpg	290	330	580	660
021	clinic-g	ba-2-after.jpg	290	330	580	660
022	clinic-g	ba-3-before.jpg	290	330	580	660
023	clinic-g	ba-3-after.jpg	290	330	580	660
024	clinic-g	ba-4-before.jpg	290	330	580	660
025	clinic-g	ba-4-after.jpg	290	330	580	660
026	clinic-g	ba-5-before.jpg	290	330	580	660
027	clinic-g	ba-5-after.jpg	290	330	580	660
028	clinic-g	rev-1.jpg	216	240	432	480
029	clinic-g	rev-2.jpg	216	240	432	480
030	clinic-g	rev-3.jpg	216	240	432	480
031	clinic-g	rev-4.jpg	216	240	432	480
032	clinic-g	doctor-1.jpg	360	420	720	840
033	clinic-g	doctor-2.jpg	360	420	720	840
034	clinic-g	doctor-3.jpg	360	420	720	840
035	clinic-g	doctor-4.jpg	360	420	720	840
036	clinic-g	doctor-5.jpg	360	420	720	840
037	clinic-g	notice-1.jpg	280	188	560	376
038	clinic-g	research-1.jpg	280	188	560	376
039	clinic-g	notice-2.jpg	280	188	560	376
040	clinic-g	research-2.jpg	280	188	560	376
041	clinic-g	notice-3.jpg	280	188	560	376
042	clinic-g	research-3.jpg	280	188	560	376
043	clinic-g	notice-4.jpg	280	188	560	376
044	clinic-g	research-4.jpg	280	188	560	376
045	clinic-g	kv-deviated-septum.jpg	960	356	1920	713
046	clinic-g	kv-rhinitis.jpg	960	356	1920	713
047	clinic-g	kv-sinusitis.jpg	960	356	1920	713
048	clinic-g	kv-nasal-valve.jpg	960	356	1920	713
049	clinic-g	kv-nasal-fracture.jpg	960	356	1920	713
050	clinic-g	kv-self-check.jpg	960	356	1920	713
051	clinic-g	vid-septum.jpg	640	360	1280	720
052	clinic-g	c-septum-1.jpg	100	100	200	200
053	clinic-g	os-septum-1.jpg	270	150	540	300
054	clinic-g	c-septum-2.jpg	100	100	200	200
055	clinic-g	os-septum-2.jpg	270	150	540	300
056	clinic-g	c-septum-3.jpg	100	100	200	200
057	clinic-g	os-septum-3.jpg	270	150	540	300
058	clinic-g	c-septum-4.jpg	100	100	200	200
059	clinic-g	os-septum-4.jpg	270	150	540	300
060	clinic-g	ps-septum-1.jpg	385	240	770	480
061	clinic-g	yt-septum-1.jpg	385	217	770	434
062	clinic-g	ba-septum-1-b.jpg	190	215	380	430
063	clinic-g	ba-septum-1-a.jpg	190	215	380	430
064	clinic-g	ps-septum-2.jpg	385	240	770	480
065	clinic-g	yt-septum-2.jpg	385	217	770	434
066	clinic-g	ba-septum-2-b.jpg	190	215	380	430
067	clinic-g	ba-septum-2-a.jpg	190	215	380	430
068	clinic-g	ps-septum-3.jpg	385	240	770	480
069	clinic-g	yt-septum-3.jpg	385	217	770	434
070	clinic-g	ba-septum-3-b.jpg	190	215	380	430
071	clinic-g	ba-septum-3-a.jpg	190	215	380	430
072	clinic-g	vid-rhinitis.jpg	640	360	1280	720
073	clinic-g	c-rhin-1.jpg	100	100	200	200
074	clinic-g	os-rhin-1.jpg	270	150	540	300
075	clinic-g	c-rhin-2.jpg	100	100	200	200
076	clinic-g	os-rhin-2.jpg	270	150	540	300
077	clinic-g	c-rhin-3.jpg	100	100	200	200
078	clinic-g	os-rhin-3.jpg	270	150	540	300
079	clinic-g	c-rhin-4.jpg	100	100	200	200
080	clinic-g	os-rhin-4.jpg	270	150	540	300
081	clinic-g	ps-rhin-1.jpg	385	240	770	480
082	clinic-g	yt-rhin-1.jpg	385	217	770	434
083	clinic-g	ba-rhin-1-b.jpg	190	215	380	430
084	clinic-g	ba-rhin-1-a.jpg	190	215	380	430
085	clinic-g	ps-rhin-2.jpg	385	240	770	480
086	clinic-g	yt-rhin-2.jpg	385	217	770	434
087	clinic-g	ba-rhin-2-b.jpg	190	215	380	430
088	clinic-g	ba-rhin-2-a.jpg	190	215	380	430
089	clinic-g	ps-rhin-3.jpg	385	240	770	480
090	clinic-g	yt-rhin-3.jpg	385	217	770	434
091	clinic-g	ba-rhin-3-b.jpg	190	215	380	430
092	clinic-g	ba-rhin-3-a.jpg	190	215	380	430
093	clinic-g	vid-sinus.jpg	640	360	1280	720
094	clinic-g	c-sinus-1.jpg	100	100	200	200
095	clinic-g	os-sinus-1.jpg	270	150	540	300
096	clinic-g	c-sinus-2.jpg	100	100	200	200
097	clinic-g	os-sinus-2.jpg	270	150	540	300
