# 기업 A — 번호	슬러그	파일	표시w	표시h	생성w	생성h
1	corporate-f	hero.jpg	1440	900	1728	1080
2	corporate-f	ess-1.jpg	600	810	1440	1944
3	corporate-f	ess-2.jpg	600	810	1440	1944
4	corporate-f	ess-3.jpg	600	810	1440	1944
5	corporate-f	biz-1.jpg	1440	900	1728	1080
6	corporate-f	biz-2.jpg	1440	900	1728	1080
7	corporate-f	biz-3.jpg	1440	900	1728	1080
8	corporate-f	qs.jpg	1440	900	1728	1080
9	corporate-f	pj-1.jpg	316	439	758	1053
10	corporate-f	pj-2.jpg	316	439	758	1053
11	corporate-f	pj-3.jpg	316	439	758	1053
12	corporate-f	pj-4.jpg	316	439	758	1053
13	corporate-f	pj-5.jpg	316	439	758	1053
14	corporate-f	pj-6.jpg	316	439	758	1053
15	corporate-f	pj-7.jpg	316	439	758	1053
16	corporate-f	pj-8.jpg	316	439	758	1053
# 서브페이지 (s1~s11)
s1	corporate-f	sub-ceo.jpg	1440	900	1728	1080
s2	corporate-f	hs-1.jpg	455	255	1092	612
s3	corporate-f	hs-2.jpg	455	255	1092	612
s4	corporate-f	hs-3.jpg	455	255	1092	612
s5	corporate-f	hs-4.jpg	455	255	1092	612
s6	corporate-f	hs-5.jpg	455	255	1092	612
s7	corporate-f	ph-1.jpg	621	360	1490	864
s8	corporate-f	ph-2.jpg	621	360	1490	864
s9	corporate-f	ph-3.jpg	621	360	1490	864
s10	corporate-f	feat.jpg	1440	900	1728	1080
s11	corporate-f	cg.jpg	1047	288	1256	345
