# 기업 B — 번호	슬러그	파일	표시w	표시h	생성w	생성h
g1	corporate-g	hero-1.jpg	1440	900	1728	1080
g2	corporate-g	hero-2.jpg	1440	900	1728	1080
g3	corporate-g	hero-3.jpg	1440	900	1728	1080
g4	corporate-g	biz-bg.jpg	1440	900	1728	1080
g5	corporate-g	tech-1.jpg	1092	600	1310	720
g6	corporate-g	tech-2.jpg	1092	600	1310	720
g7	corporate-g	tech-3.jpg	1092	600	1310	720
g8	corporate-g	tech-4.jpg	1092	600	1310	720
g9	corporate-g	tech-5.jpg	1092	600	1310	720
g10	corporate-g	part-1.jpg	320	480	768	1152
g11	corporate-g	part-1-on.jpg	320	480	768	1152
g12	corporate-g	part-2.jpg	320	480	768	1152
g13	corporate-g	part-2-on.jpg	320	480	768	1152
g14	corporate-g	part-3.jpg	320	480	768	1152
g15	corporate-g	part-3-on.jpg	320	480	768	1152
g16	corporate-g	part-4.jpg	320	480	768	1152
g17	corporate-g	part-4-on.jpg	320	480	768	1152
g18	corporate-g	vision-1.jpg	545	640	1308	1536
g19	corporate-g	vision-2.jpg	545	640	1308	1536
g20	corporate-g	vision-3.jpg	545	640	1308	1536
g21	corporate-g	vision-4.jpg	545	640	1308	1536
g22	corporate-g	news-1.jpg	448	287	1075	688
g23	corporate-g	news-2.jpg	448	287	1075	688
g24	corporate-g	news-3.jpg	448	287	1075	688
g25	corporate-g	news-4.jpg	448	287	1075	688
g26	corporate-g	news-5.jpg	448	287	1075	688
g27	corporate-g	news-6.jpg	448	287	1075	688
g28	corporate-g	contact-bg.jpg	1440	1496	1728	1795
g29	corporate-g	sub-company.jpg	1440	640	1728	768
g30	corporate-g	sub-factory.jpg	1440	640	1728	768
g31	corporate-g	sub-product.jpg	1440	640	1728	768
g32	corporate-g	sub-customer.jpg	1440	640	1728	768
g33	corporate-g	history-banner.jpg	1400	431	1680	517
g34	corporate-g	partner-bg.jpg	1400	600	1680	720
g35	corporate-g	process-1.jpg	813	640	1951	1536
g36	corporate-g	process-2.jpg	813	640	1951	1536
g37	corporate-g	process-3.jpg	813	640	1951	1536
g38	corporate-g	process-4.jpg	813	640	1951	1536
g39	corporate-g	process-5.jpg	813	640	1951	1536
g40	corporate-g	process-6.jpg	813	640	1951	1536
g41	corporate-g	process-7.jpg	813	640	1951	1536
g42	corporate-g	process-8.jpg	813	640	1951	1536
g43	corporate-g	pump-c1.jpg	278	220	667	528
g44	corporate-g	pump-c2.jpg	278	220	667	528
g45	corporate-g	pump-c3.jpg	278	220	667	528
g46	corporate-g	pump-c4.jpg	278	220	667	528
g47	corporate-g	pump-c5.jpg	278	220	667	528
g48	corporate-g	pump-c6.jpg	278	220	667	528
g49	corporate-g	pump-c7.jpg	278	220	667	528
g50	corporate-g	pump-i1.jpg	278	220	667	528
g51	corporate-g	pump-i2.jpg	278	220	667	528
g52	corporate-g	pump-i3.jpg	278	220	667	528
g53	corporate-g	hp-c1.jpg	278	220	667	528
g54	corporate-g	hp-c2.jpg	278	220	667	528
g55	corporate-g	hp-d1.jpg	278	220	667	528
g56	corporate-g	hp-d2.jpg	278	220	667	528
g57	corporate-g	valve-1.jpg	278	220	667	528
g58	corporate-g	valve-2.jpg	278	220	667	528
g59	corporate-g	valve-3.jpg	278	220	667	528
g60	corporate-g	valve-4.jpg	278	220	667	528
g61	corporate-g	machine-1.jpg	278	220	667	528
g62	corporate-g	machine-2.jpg	278	220	667	528
g63	corporate-g	machine-3.jpg	278	220	667	528
g64	corporate-g	machine-4.jpg	278	220	667	528
