# 기업 D — 번호	슬러그	파일	표시w	표시h	생성w	생성h
k1	corporate-i	all-bg.jpg	1920	980	2304	1176
k2	corporate-i	biz-1.jpg	441	450	550	550
k3	corporate-i	biz-2.jpg	441	450	550	550
k4	corporate-i	biz-3.jpg	441	450	550	550
k5	corporate-i	biz-4.jpg	441	450	550	550
k6	corporate-i	career-bg.jpg	1325	591	2060	710
k7	corporate-i	esg-bg.jpg	1325	495	1782	594
k8	corporate-i	hero.jpg	1920	1080	2304	1296
k9	corporate-i	ov-pill.jpg	200	100	240	120
k10	corporate-i	ov.jpg	1920	1080	2304	1296
k11	corporate-i	p/banner-defense.jpg	1280	300	1536	360
k12	corporate-i	p/banner-laser.jpg	1280	300	1536	360
k13	corporate-i	p/banner-sci.jpg	1280	300	1536	360
k14	corporate-i	p/banner-space.jpg	1280	300	1536	360
k15	corporate-i	p/banner-vision.jpg	1280	300	1536	360
k16	corporate-i	p/m11-sec1.jpg	640	410	768	492
k17	corporate-i	p/m11-sec2.jpg	1440	1920	2370	2304
k18	corporate-i	p/m12-img0.jpg	1008	500	2088	600
k19	corporate-i	p/m12-img1.jpg	200	100	240	120
k20	corporate-i	p/m12-img2.jpg	200	100	240	120
k21	corporate-i	p/m13-bg1.jpg	1440	900	2400	1076
k22	corporate-i	p/m13-bg2.jpg	1440	900	2400	1076
k23	corporate-i	p/m13-bg3.jpg	1440	900	2400	1076
k24	corporate-i	p/m15-img1.jpg	640	380	768	456
k25	corporate-i	p/m15-img2.jpg	640	380	768	456
k26	corporate-i	p/m21-bg-l.jpg	1440	3521	1872	2400
k27	corporate-i	p/m21-img1.jpg	370	170	444	204
k28	corporate-i	p/m21-img2.jpg	370	170	444	204
k29	corporate-i	p/m21-img3.jpg	370	170	444	204
k30	corporate-i	p/m21-img4.jpg	370	170	444	204
k31	corporate-i	p/m21-img5.jpg	370	170	444	204
k32	corporate-i	p/m21-img6.jpg	370	170	444	204
k33	corporate-i	p/m21-top.jpg	1008	620	2088	744
k34	corporate-i	p/m22-bg-l.jpg	1440	4175	2400	1948
k35	corporate-i	p/m22-t1-1.jpg	370	170	444	204
k36	corporate-i	p/m22-t1-2.jpg	370	170	444	204
k37	corporate-i	p/m22-t1-3.jpg	370	170	444	204
k38	corporate-i	p/m22-t1-top.jpg	1354	620	2088	744
k39	corporate-i	p/m22-t2-1.jpg	370	170	444	204
k40	corporate-i	p/m22-t2-2.jpg	370	170	444	204
k41	corporate-i	p/m22-t2-3.jpg	370	170	444	204
k42	corporate-i	p/m22-t2-merit.jpg	1280	300	1536	360
k43	corporate-i	p/m22-t2-top.jpg	1354	620	2088	744
k44	corporate-i	p/m22-t3-1.jpg	574	264	690	318
k45	corporate-i	p/m22-t3-2.jpg	574	264	690	318
