# 기업 D — 번호	슬러그	파일	표시w	표시h	생성w	생성h
j1	corporate-j	hero.jpg	1920	1080	1920	1080
j2	corporate-j	kv-thumb-1.jpg	840	520	2016	1248
j3	corporate-j	kv-thumb-2.jpg	840	520	2016	1248
j4	corporate-j	org-main.jpg	1900	1056	1900	1056
j5	corporate-j	org-thumb-1.jpg	360	360	864	864
j6	corporate-j	org-thumb-2.jpg	360	360	864	864
j7	corporate-j	org-thumb-3.jpg	360	360	864	864
j8	corporate-j	org-thumb-4.jpg	360	360	864	864
j9	corporate-j	org-thumb-5.jpg	360	360	864	864
j10	corporate-j	org-thumb-6.jpg	360	360	864	864
j11	corporate-j	org-thumb-7.jpg	360	360	864	864
j12	corporate-j	lineup-bg.jpg	1920	1080	1920	1080
j13	corporate-j	lineup-1.png	740	520	1776	1248
j14	corporate-j	lineup-2.png	740	520	1776	1248
j15	corporate-j	lineup-3.png	740	520	1776	1248
j16	corporate-j	lineup-4.png	740	520	1776	1248
j17	corporate-j	media-1.jpg	830	818	1992	1963
j18	corporate-j	media-2.jpg	830	818	1992	1963
j19	corporate-j	media-3.jpg	830	818	1992	1963
j20	corporate-j	media-4.jpg	830	818	1992	1963
j21	corporate-j	video-1.jpg	996	580	1195	696
j22	corporate-j	video-2.jpg	996	580	1195	696
j23	corporate-j	video-3.jpg	996	580	1195	696
j24	corporate-j	video-4.jpg	996	580	1195	696
j25	corporate-j	video-5.jpg	996	580	1195	696
j26	corporate-j	mega-1.jpg	580	332	1392	796
j27	corporate-j	mega-2.jpg	580	332	1392	796
j28	corporate-j	mega-3.jpg	580	332	1392	796
j29	corporate-j	mega-4.jpg	580	332	1392	796
j30	corporate-j	sub-overview.jpg	1920	1080	1920	1080
j31	corporate-j	sub-history.jpg	1920	1080	1920	1080
j32	corporate-j	sub-company.jpg	1920	1080	1920	1080
j33	corporate-j	sub-recruit.jpg	1920	1080	1920	1080
j34	corporate-j	sub-network.jpg	1920	1080	1920	1080
j35	corporate-j	sub-business.jpg	1920	1080	1920	1080
j36	corporate-j	sub-software.jpg	1920	1080	1920	1080
j37	corporate-j	sub-automation.jpg	1920	1080	1920	1080
j38	corporate-j	sub-list.jpg	1920	1080	1920	1080
j39	corporate-j	sub-catalog.jpg	1920	1080	1920	1080
j40	corporate-j	sub-inquiry.jpg	1920	1080	1920	1080
j41	corporate-j	sub-as.jpg	1920	1080	1920	1080
j42	corporate-j	sub-training.jpg	1920	1080	1920	1080
j43	corporate-j	sub-software-view.jpg	1920	1080	1920	1080
j44	corporate-j	about-banner.jpg	1600	590	1920	708
j45	corporate-j	about-vision-1.jpg	760	500	1824	1200
j46	corporate-j	about-vision-2.jpg	760	500	1824	1200
j47	corporate-j	about-vision-3.jpg	760	500	1824	1200
j48	corporate-j	about-vision-bg.jpg	1600	900	1920	1080
j49	corporate-j	about-identity.jpg	1600	740	1920	888
j50	corporate-j	history-1.jpg	672	420	1612	1008
j51	corporate-j	history-2.jpg	672	420	1612	1008
j52	corporate-j	history-3.jpg	672	420	1612	1008
j53	corporate-j	history-4.jpg	672	420	1612	1008
j54	corporate-j	history-5.jpg	672	420	1612	1008
j55	corporate-j	ci-visual.jpg	1600	740	1920	888
j56	corporate-j	recruit-talent-1.jpg	520	500	1248	1200
j57	corporate-j	recruit-talent-2.jpg	520	500	1248	1200
j58	corporate-j	recruit-talent-3.jpg	520	500	1248	1200
j59	corporate-j	biz-ph-bg.jpg	1920	1080	1920	1080
j60	corporate-j	biz-ph-main.jpg	1168	540	1401	648
j61	corporate-j	biz-ph-1.jpg	600	340	1440	816
j62	corporate-j	biz-ph-2.jpg	600	340	1440	816
j63	corporate-j	biz-ph-3.jpg	600	340	1440	816
j64	corporate-j	biz-mc-1.png	800	556	1920	1334
j65	corporate-j	biz-mc-2.png	800	556	1920	1334
j66	corporate-j	biz-mc-3.png	800	556	1920	1334
j67	corporate-j	biz-mc-4.png	800	556	1920	1334
j68	corporate-j	biz-mc-5.png	800	556	1920	1334
j69	corporate-j	biz-tc-1.png	800	556	1920	1334
j70	corporate-j	biz-tc-2.png	800	556	1920	1334
j71	corporate-j	biz-tc-3.png	800	556	1920	1334
j72	corporate-j	biz-tc-4.png	800	556	1920	1334
j73	corporate-j	biz-tc-5.png	800	556	1920	1334
j74	corporate-j	biz-gn-1.png	800	556	1920	1334
j75	corporate-j	biz-gn-2.png	800	556	1920	1334
j76	corporate-j	biz-gn-3.png	800	556	1920	1334
j77	corporate-j	biz-gn-4.png	800	556	1920	1334
j78	corporate-j	biz-gn-5.png	800	556	1920	1334
j79	corporate-j	biz-sl-1.png	800	556	1920	1334
j80	corporate-j	biz-field-bg.jpg	1920	1080	1920	1080
j81	corporate-j	biz-field-1.jpg	560	560	1344	1344
j82	corporate-j	biz-field-2.jpg	560	560	1344	1344
j83	corporate-j	biz-field-3.jpg	560	560	1344	1344
j84	corporate-j	biz-field-4.jpg	560	560	1344	1344
j85	corporate-j	biz-field-5.jpg	560	560	1344	1344
j86	corporate-j	software-1.jpg	830	800	1992	1920
j87	corporate-j	software-2.jpg	830	800	1992	1920
j88	corporate-j	software-3.jpg	830	800	1992	1920
j89	corporate-j	software-4.jpg	830	800	1992	1920
j90	corporate-j	software-5.jpg	830	800	1992	1920
j91	corporate-j	software-6.jpg	830	800	1992	1920
j92	corporate-j	automation-1.jpg	1600	800	1920	960
j93	corporate-j	automation-2.jpg	1600	800	1920	960
j94	corporate-j	automation-3.jpg	1600	800	1920	960
j95	corporate-j	prd-1.png	732	498	1756	1195
j96	corporate-j	prd-2.png	732	498	1756	1195
j97	corporate-j	prd-3.png	732	498	1756	1195
j98	corporate-j	prd-4.png	732	498	1756	1195
j99	corporate-j	prd-5.png	732	498	1756	1195
j100	corporate-j	prd-6.png	732	498	1756	1195
