# 기업 F — 번호	슬러그	파일	표시w	표시h	생성w	생성h
k1	corporate-k	hero.jpg	1920	1080	1920	1080
k2	corporate-k	circle-bg.jpg	875	800	875	800
k3	corporate-k	flow-1.jpg	163	163	400	400
k4	corporate-k	flow-2.jpg	163	163	400	400
k5	corporate-k	flow-3.jpg	163	163	400	400
k6	corporate-k	flow-4.jpg	163	163	400	400
k7	corporate-k	flow-5.jpg	163	163	400	400
k8	corporate-k	flow-6.jpg	163	163	400	400
k9	corporate-k	flow-7.jpg	163	163	400	400
k10	corporate-k	flow-8.jpg	163	163	400	400
k11	corporate-k	flow-9.jpg	163	163	400	400
k12	corporate-k	flow-10.jpg	163	163	400	400
k13	corporate-k	flow-11.jpg	163	163	400	400
k14	corporate-k	flow-12.jpg	163	163	400	400
k15	corporate-k	product-1.png	292	388	467	621
k16	corporate-k	product-2.png	292	388	467	621
k17	corporate-k	product-3.png	292	388	467	621
k18	corporate-k	product-4.png	292	388	467	621
k19	corporate-k	product-5.png	292	388	467	621
k20	corporate-k	brand-1.jpg	253	253	405	405
k21	corporate-k	brand-2.jpg	253	253	405	405
k22	corporate-k	brand-3.jpg	253	253	405	405
k23	corporate-k	brand-4.jpg	253	253	405	405
k24	corporate-k	brand-5.jpg	253	253	405	405
k25	corporate-k	rnd-bg.jpg	1440	687	2304	1094
k26	corporate-k	rnd-bg-1.jpg	1440	687	2304	1094
k27	corporate-k	rnd-bg-2.jpg	1440	687	2304	1094
k28	corporate-k	csr-1.jpg	562	378	1124	756
k29	corporate-k	csr-2.jpg	562	378	1124	756
k30	corporate-k	csr-3.jpg	562	378	1124	756
k31	corporate-k	csr-4.jpg	562	378	1124	756
k32	corporate-k	social-1.jpg	254	317	1080	1350
k33	corporate-k	social-2.jpg	254	317	1080	1350
k34	corporate-k	social-3.jpg	254	317	1080	1350
k35	corporate-k	social-4.jpg	254	317	1080	1350
k36	corporate-k	support-bg.jpg	1920	1080	1920	1080
k37	corporate-k	gnb-brand-all.jpg	1160	70	1160	140
k38	corporate-k	gnb-about-1.jpg	90	90	271	271
k39	corporate-k	gnb-about-2.jpg	90	90	271	271
k40	corporate-k	gnb-about-3.jpg	90	90	271	271
k41	corporate-k	gnb-about-4.jpg	90	90	271	271
k42	corporate-k	gnb-brand-1.jpg	70	70	210	210
k43	corporate-k	gnb-brand-2.jpg	70	70	210	210
k44	corporate-k	gnb-brand-3.jpg	70	70	210	210
k45	corporate-k	gnb-brand-4.jpg	70	70	210	210
k46	corporate-k	gnb-brand-5.jpg	70	70	210	210
k47	corporate-k	gnb-rnd-1.jpg	90	90	271	271
k48	corporate-k	gnb-rnd-2.jpg	90	90	271	271
