# corporate-l 한결그룹 사진 대응표
# 번호 | 용도 슬러그 | 파일명 | 표시 크기(px, 대표 뷰) | 생성 크기(px)
01 | og-share | og.jpg | 1200x630 | 1200x630
02 | main-hero | main-kv.jpg | 1920x1080 | 1920x1080
03 | global-earth | main-globe.jpg | 1400x1400 | 1400x1400
04 | sustainability-forest | main-sustainability.jpg | 1920x1200 | 1920x1200
05 | main-news | main-news.jpg | 600x400 | 1200x800
06 | main-invest | main-invest.jpg | 1920x1080 | 1920x1080
07 | main-business | main-business.jpg | 600x280 | 1200x560
08 | main-career | main-career.jpg | 600x280 | 1200x560
09 | about-kv | sub-about.jpg | 1920x1080 | 1920x1080
10 | about-company | about-a.jpg | 550x380 | 1100x760
11 | about-vision | about-b.jpg | 410x550 | 820x1100
12 | history-kv | sub-history.jpg | 1920x1080 | 1920x1080
13 | history-innovation | history-a.jpg | 480x320 | 960x640
14 | history-growth | history-b.jpg | 480x320 | 960x640
15 | business-kv | sub-business.jpg | 1920x1080 | 1920x1080
16 | business-consumer | business-consumer.jpg | 1920x1080 | 1920x1080
17 | business-healthcare | business-health.jpg | 1920x1080 | 1920x1080
18 | business-bio | business-bio.jpg | 1920x1080 | 1920x1080
19 | business-estate | business-estate.jpg | 1920x1080 | 1920x1080
20 | global-map | network-map.jpg | 900x490 | 1800x980
21 | ir-kv | sub-ir.jpg | 1920x1080 | 1920x1080
22 | ir-performance | ir-performance.jpg | 600x380 | 1200x760
23 | esg-kv | sub-esg.jpg | 1920x1080 | 1920x1080
24 | esg-environment | esg-environment.jpg | 600x400 | 1200x800
25 | esg-social | esg-social.jpg | 600x400 | 1200x800
26 | esg-governance | esg-governance.jpg | 600x400 | 1200x800
27 | ethics-report | ethics-report.jpg | 700x430 | 1400x860
28 | news-feature | news-feature.jpg | 600x400 | 1200x800
29 | news-01 | news-1.jpg | 450x300 | 900x600
30 | news-02 | news-2.jpg | 450x300 | 900x600
31 | news-03 | news-3.jpg | 450x300 | 900x600
32 | news-04 | news-4.jpg | 450x300 | 900x600
33 | news-05 | news-5.jpg | 450x300 | 900x600
34 | news-06 | news-6.jpg | 450x300 | 900x600
35 | hr-kv | sub-hr.jpg | 1920x1080 | 1920x1080
36 | hr-challenge | hr-challenge.jpg | 450x560 | 900x1120
37 | hr-execute | hr-execute.jpg | 450x560 | 900x1120
38 | hr-optimize | hr-optimize.jpg | 450x560 | 900x1120
39 | jobs-kv | sub-jobs.jpg | 1920x1080 | 1920x1080
40 | recruit-kv | sub-recruit.jpg | 1920x1080 | 1920x1080
41 | recruit-new | recruit-a.jpg | 550x360 | 1100x720
42 | recruit-career | recruit-b.jpg | 550x360 | 1100x720
43 | interview-01 | interview-1.jpg | 360x240 | 720x480
44 | interview-02 | interview-2.jpg | 360x240 | 720x480
45 | interview-03 | interview-3.jpg | 360x240 | 720x480
46 | interview-04 | interview-4.jpg | 360x240 | 720x480
47 | interview-05 | interview-5.jpg | 360x240 | 720x480
48 | interview-06 | interview-6.jpg | 360x240 | 720x480
49 | contact | contact.jpg | 700x450 | 1400x900
50 | banner-about | banner-about.jpg | 600x240 | 1200x480
51 | banner-career | banner-career.jpg | 600x240 | 1200x480
