# 치과 F — 번호	슬러그	파일	표시w	표시h	생성w	생성h
f1	dental-f	visual-1.jpg	1920	1080	1920	1080
f2	dental-f	visual-2.jpg	1920	1080	1920	1080
f3	dental-f	visual-3.jpg	1920	1080	1920	1080
f4	dental-f	visual-4.jpg	1920	1080	1920	1080
f5	dental-f	tab-1.jpg	600	430	900	645
f6	dental-f	tab-2.jpg	600	430	900	645
f7	dental-f	tab-3.jpg	600	430	900	645
f8	dental-f	tab-4.jpg	600	430	900	645
f9	dental-f	senior-b-1.jpg	500	700	750	1050
f10	dental-f	senior-a-1.jpg	500	700	750	1050
f11	dental-f	senior-b-2.jpg	500	700	750	1050
f12	dental-f	senior-a-2.jpg	500	700	750	1050
f13	dental-f	senior-b-3.jpg	500	700	750	1050
f14	dental-f	senior-a-3.jpg	500	700	750	1050
f15	dental-f	senior-b-4.jpg	500	700	750	1050
f16	dental-f	senior-a-4.jpg	500	700	750	1050
f17	dental-f	senior-b-5.jpg	500	700	750	1050
f18	dental-f	senior-a-5.jpg	500	700	750	1050
f19	dental-f	senior-p-1.jpg	100	100	150	150
f20	dental-f	senior-p-2.jpg	100	100	150	150
f21	dental-f	senior-p-3.jpg	100	100	150	150
f22	dental-f	senior-p-4.jpg	100	100	150	150
f23	dental-f	senior-p-5.jpg	100	100	150	150
f24	dental-f	case-1-b.jpg	710	480	1065	720
f25	dental-f	case-1-a.jpg	710	480	1065	720
f26	dental-f	case-2-b.jpg	710	480	1065	720
f27	dental-f	case-2-a.jpg	710	480	1065	720
f28	dental-f	case-3-b.jpg	710	480	1065	720
f29	dental-f	case-3-a.jpg	710	480	1065	720
f30	dental-f	case-4-b.jpg	710	480	1065	720
f31	dental-f	case-4-a.jpg	710	480	1065	720
f32	dental-f	case-5-b.jpg	710	480	1065	720
f33	dental-f	case-5-a.jpg	710	480	1065	720
f34	dental-f	case-6-b.jpg	710	480	1065	720
f35	dental-f	case-6-a.jpg	710	480	1065	720
f36	dental-f	case-7-b.jpg	710	480	1065	720
f37	dental-f	case-7-a.jpg	710	480	1065	720
f38	dental-f	case-8-b.jpg	710	480	1065	720
f39	dental-f	case-8-a.jpg	710	480	1065	720
f40	dental-f	case-9-b.jpg	710	480	1065	720
f41	dental-f	case-9-a.jpg	710	480	1065	720
f42	dental-f	service-1.jpg	440	700	660	1050
f43	dental-f	service-2.jpg	440	700	660	1050
f44	dental-f	service-3.jpg	440	700	660	1050
f45	dental-f	service-4.jpg	440	700	660	1050
f46	dental-f	banner-1.jpg	1600	500	1600	500
f47	dental-f	banner-2.jpg	1600	500	1600	500
f48	dental-f	doctor-1.jpg	900	800	1350	1200
f49	dental-f	doctor-2.jpg	900	800	1350	1200
f50	dental-f	doctor-3.jpg	900	800	1350	1200
f51	dental-f	doctor-p-1.jpg	80	80	120	120
f52	dental-f	doctor-p-2.jpg	80	80	120	120
f53	dental-f	doctor-p-3.jpg	80	80	120	120
f54	dental-f	cert-1.jpg	300	375	450	562
f55	dental-f	cert-2.jpg	300	375	450	562
f56	dental-f	cert-3.jpg	300	375	450	562
f57	dental-f	cert-4.jpg	300	375	450	562
f58	dental-f	cert-5.jpg	300	375	450	562
f59	dental-f	cert-6.jpg	300	375	450	562
f60	dental-f	cert-7.jpg	300	375	450	562
f61	dental-f	cert-8.jpg	300	375	450	562
f62	dental-f	cert-bg.png	600	600	900	900
f63	dental-f	hy1-bg.jpg	1920	700	1920	700
f64	dental-f	promise-1.jpg	400	440	600	660
f65	dental-f	promise-2.jpg	400	440	600	660
f66	dental-f	promise-3.jpg	400	440	600	660
f67	dental-f	news-yt-1.jpg	560	315	840	472
f68	dental-f	news-yt-2.jpg	560	315	840	472
f69	dental-f	news-yt-3.jpg	560	315	840	472
f70	dental-f	news-yt-4.jpg	560	315	840	472
f71	dental-f	news-yt-5.jpg	560	315	840	472
f72	dental-f	notice-1.jpg	460	585	690	877
f73	dental-f	notice-2.jpg	460	585	690	877
f74	dental-f	notice-3.jpg	460	585	690	877
f75	dental-f	press-1.jpg	500	300	750	450
f76	dental-f	press-2.jpg	500	300	750	450
f77	dental-f	press-3.jpg	500	300	750	450
f78	dental-f	hy3-bg.jpg	1920	1080	1920	1080
f79	dental-f	map.jpg	1920	480	1920	480
f80	dental-f	intro-bg.jpg	1920	1080	1920	1080
f81	dental-f	popup-1.jpg	420	560	630	840
f82	dental-f	popup-2.jpg	420	560	630	840
f83	dental-f	popup-3.jpg	420	560	630	840
f84	dental-f	og.jpg	1200	630	1800	945
f85	dental-f	sub-1.jpg	1920	420	1920	420
f86	dental-f	sub-2.jpg	1920	420	1920	420
f87	dental-f	sub-3.jpg	1920	420	1920	420
f88	dental-f	sub-4.jpg	1920	420	1920	420
f89	dental-f	sub-5.jpg	1920	420	1920	420
f90	dental-f	sub-6.jpg	1920	420	1920	420
f91	dental-f	bm-1.jpg	460	190	690	285
f92	dental-f	bm-2.jpg	460	190	690	285
f93	dental-f	bm-3.jpg	460	190	690	285
f94	dental-f	intro-1.jpg	700	470	1050	705
f95	dental-f	intro-2.jpg	700	470	1050	705
f96	dental-f	intro-3.jpg	700	470	1050	705
f97	dental-f	doctors-visual.jpg	1720	720	1720	720
f98	dental-f	doctors-trust.jpg	1920	700	1920	700
f99	dental-f	greeting.jpg	700	620	1050	930
f100	dental-f	doctor-s-1.jpg	464	570	696	855
f101	dental-f	doctor-s-2.jpg	464	570	696	855
f102	dental-f	doctor-s-3.jpg	464	570	696	855
f103	dental-f	doctor-s-4.jpg	464	570	696	855
f104	dental-f	doctor-s-5.jpg	464	570	696	855
f105	dental-f	doctor-s-6.jpg	464	570	696	855
f106	dental-f	doctor-s-7.jpg	464	570	696	855
f107	dental-f	doctor-s-8.jpg	464	570	696	855
f108	dental-f	doctor-s-9.jpg	464	570	696	855
f109	dental-f	doctor-s-10.jpg	464	570	696	855
f110	dental-f	prosthetics-intro.jpg	820	620	1230	930
f111	dental-f	tech-1.jpg	460	300	690	450
f112	dental-f	tech-2.jpg	460	300	690	450
f113	dental-f	tech-3.jpg	460	300	690	450
f114	dental-f	tech-4.jpg	460	300	690	450
f115	dental-f	tech-5.jpg	460	300	690	450
f116	dental-f	tour-1.jpg	1720	700	1720	700
f117	dental-f	tour-2.jpg	1720	700	1720	700
f118	dental-f	tour-3.jpg	1720	700	1720	700
f119	dental-f	tour-4.jpg	1720	700	1720	700
f120	dental-f	tour-5.jpg	1720	700	1720	700
f121	dental-f	equip-1.jpg	460	300	690	450
f122	dental-f	equip-2.jpg	460	300	690	450
f123	dental-f	equip-3.jpg	460	300	690	450
f124	dental-f	equip-4.jpg	460	300	690	450
f125	dental-f	equip-5.jpg	460	300	690	450
f126	dental-f	equip-6.jpg	460	300	690	450
f127	dental-f	equip-7.jpg	460	300	690	450
f128	dental-f	equip-8.jpg	460	300	690	450
f129	dental-f	equip-9.jpg	460	300	690	450
f130	dental-f	equip-10.jpg	460	300	690	450
f131	dental-f	equip-11.jpg	460	300	690	450
f132	dental-f	equip-12.jpg	460	300	690	450
f133	dental-f	equip-13.jpg	460	300	690	450
f134	dental-f	equip-14.jpg	460	300	690	450
f135	dental-f	equip-15.jpg	460	300	690	450
f136	dental-f	equip-16.jpg	460	300	690	450
f137	dental-f	equip-17.jpg	460	300	690	450
f138	dental-f	equip-18.jpg	460	300	690	450
f139	dental-f	equip-19.jpg	460	300	690	450
f140	dental-f	equip-20.jpg	460	300	690	450
f141	dental-f	equip-21.jpg	460	300	690	450
f142	dental-f	equip-22.jpg	460	300	690	450
f143	dental-f	implant-hero-1.jpg	840	400	1260	600
f144	dental-f	implant-hero-2.jpg	840	400	1260	600
f145	dental-f	sleep-hero-1.jpg	840	400	1260	600
f146	dental-f	sleep-hero-2.jpg	840	400	1260	600
f147	dental-f	pros-hero-1.jpg	840	400	1260	600
f148	dental-f	pros-hero-2.jpg	840	400	1260	600
f149	dental-f	lam-hero-1.jpg	840	400	1260	600
