# 집담 estate-f 서브페이지 — 번호	슬러그	파일	표시w	표시h	생성w	생성h
1	estate-f	rm-1.jpg	104	104	511	511
2	estate-f	rm-2.jpg	104	104	511	511
3	estate-f	rm-3.jpg	104	104	511	511
4	estate-f	rm-4.jpg	104	104	511	511
5	estate-f	rm-5.jpg	104	104	511	511
6	estate-f	rm-6.jpg	104	104	511	511
7	estate-f	rm-7.jpg	104	104	511	511
8	estate-f	rm-8.jpg	104	104	511	511
9	estate-f	rm-9.jpg	104	104	511	511
10	estate-f	rm-10.jpg	104	104	511	511
11	estate-f	rm-11.jpg	104	104	511	511
12	estate-f	rm-12.jpg	104	104	511	511
13	estate-f	dt-1.jpg	700	448	1680	1075
14	estate-f	dt-2.jpg	340	220	816	528
15	estate-f	dt-3.jpg	340	220	816	528
16	estate-f	dt-4.jpg	340	220	816	528
17	estate-f	dt-5.jpg	340	220	816	528
18	estate-f	nw-1.jpg	760	400	1824	960
19	estate-f	nw-2.jpg	760	400	1824	960
20	estate-f	nw-3.jpg	760	400	1824	960
