# 호텔 A — 번호	슬러그	파일	표시w	표시h	생성w	생성h
e1	hotel-e	ad-banner.jpg	1050	130	2100	260
e2	hotel-e	banner-1.jpg	521	255	1042	510
e3	hotel-e	banner-2.jpg	521	255	1042	510
e4	hotel-e	banner-3.jpg	521	255	1042	510
e5	hotel-e	brand-bg-affiliated.jpg	536	668	1072	1336
e6	hotel-e	brand-bg-arte-villas.jpg	536	668	1072	1336
e7	hotel-e	brand-bg-breez.jpg	536	668	1072	1336
e8	hotel-e	brand-bg-city.jpg	536	668	1072	1336
e9	hotel-e	brand-bg-resort.jpg	536	668	1072	1336
e10	hotel-e	brand-bg-s7.jpg	536	668	1072	1336
e11	hotel-e	brand-bg-seora-hotels.jpg	536	668	1072	1336
e12	hotel-e	brand-bg-signara.jpg	536	668	1072	1336
e13	hotel-e	brand-bg-skyhill.jpg	536	668	1072	1336
e14	hotel-e	brand-bg-the-grand.jpg	536	668	1072	1336
e15	hotel-e	brand-bg-vela.jpg	536	668	1072	1336
e16	hotel-e	brand-card-affiliated-1.jpg	336	189	672	378
e17	hotel-e	brand-card-affiliated-2.jpg	336	189	672	378
e18	hotel-e	brand-card-arte-villas-1.jpg	336	189	672	378
e19	hotel-e	brand-card-arte-villas-2.jpg	336	189	672	378
e20	hotel-e	brand-card-breez-1.jpg	336	189	672	378
e21	hotel-e	brand-card-breez-2.jpg	336	189	672	378
e22	hotel-e	brand-card-city-1.jpg	336	189	672	378
e23	hotel-e	brand-card-city-2.jpg	336	189	672	378
e24	hotel-e	brand-card-resort-1.jpg	336	189	672	378
e25	hotel-e	brand-card-resort-2.jpg	336	189	672	378
e26	hotel-e	brand-card-s7-1.jpg	336	189	672	378
e27	hotel-e	brand-card-s7-2.jpg	336	189	672	378
e28	hotel-e	brand-card-seora-hotels-1.jpg	336	189	672	378
e29	hotel-e	brand-card-seora-hotels-2.jpg	336	189	672	378
e30	hotel-e	brand-card-signara-1.jpg	336	189	672	378
e31	hotel-e	brand-card-signara-2.jpg	336	189	672	378
e32	hotel-e	brand-card-skyhill-1.jpg	336	189	672	378
e33	hotel-e	brand-card-skyhill-2.jpg	336	189	672	378
e34	hotel-e	brand-card-the-grand-1.jpg	336	189	672	378
e35	hotel-e	brand-card-the-grand-2.jpg	336	189	672	378
e36	hotel-e	brand-card-vela-1.jpg	336	189	672	378
e37	hotel-e	brand-card-vela-2.jpg	336	189	672	378
e38	hotel-e	bv-branch.jpg	450	280	900	560
e39	hotel-e	bv-exp-1.jpg	350	235	700	470
e40	hotel-e	bv-exp-2.jpg	350	235	700	470
e41	hotel-e	bv-exp-3.jpg	350	235	700	470
e42	hotel-e	bv-exp-4.jpg	350	235	700	470
e43	hotel-e	bv-feature-1.jpg	450	310	900	620
e44	hotel-e	bv-feature-2.jpg	450	310	900	620
e45	hotel-e	bv-intro.jpg	450	580	900	1160
e46	hotel-e	bv-quote.jpg	380	380	760	760
e47	hotel-e	bv-wide.jpg	1050	450	2100	900
e48	hotel-e	dest-1.jpg	339	488	678	976
e49	hotel-e	dest-2.jpg	339	488	678	976
e50	hotel-e	dest-3.jpg	339	488	678	976
e51	hotel-e	dest-4.jpg	339	488	678	976
e52	hotel-e	dining-1.jpg	330	220	660	440
e53	hotel-e	dining-10.jpg	330	220	660	440
e54	hotel-e	dining-11.jpg	330	220	660	440
e55	hotel-e	dining-12.jpg	330	220	660	440
e56	hotel-e	dining-2.jpg	330	220	660	440
e57	hotel-e	dining-3.jpg	330	220	660	440
e58	hotel-e	dining-4.jpg	330	220	660	440
e59	hotel-e	dining-5.jpg	330	220	660	440
e60	hotel-e	dining-6.jpg	330	220	660	440
e61	hotel-e	dining-7.jpg	330	220	660	440
e62	hotel-e	dining-8.jpg	330	220	660	440
