# 렌터카 2종 — 번호	슬러그	파일	표시w	표시h	생성w	생성h
1	rentcar-f	why-1.jpg	300	168	720	403
2	rentcar-f	why-2.jpg	300	168	720	403
3	rentcar-f	why-3.jpg	300	168	720	403
4	rentcar-f	why-4.jpg	300	168	720	403
5	rentcar-f	trip-1.jpg	290	216	696	518
6	rentcar-f	trip-2.jpg	290	216	696	518
7	rentcar-f	trip-3.jpg	290	216	696	518
8	rentcar-f	trip-4.jpg	290	216	696	518
9	rentcar-f	tip-1.jpg	290	216	696	518
10	rentcar-f	tip-2.jpg	290	216	696	518
11	rentcar-f	tip-3.jpg	290	216	696	518
12	rentcar-f	tip-4.jpg	290	216	696	518
13	rentcar-f	car-1.jpg	104	78	511	384
14	rentcar-f	car-2.jpg	104	78	511	384
15	rentcar-f	car-3.jpg	104	78	511	384
16	rentcar-f	car-4.jpg	104	78	511	384
17	rentcar-f	car-5.jpg	104	78	511	384
18	rentcar-f	car-6.jpg	104	78	511	384
19	rentcar-f	car-7.jpg	104	78	511	384
20	rentcar-f	car-8.jpg	104	78	511	384
21	rentcar-f	car-9.jpg	104	78	511	384
22	rentcar-f	car-10.jpg	104	78	511	384
23	rentcar-f	gv-1.jpg	640	390	1536	936
24	rentcar-f	gv-2.jpg	300	190	720	456
25	rentcar-f	gv-3.jpg	300	190	720	456
26	rentcar-g	bn-1.jpg	1050	720	1260	864
27	rentcar-g	bn-2.jpg	1050	720	1260	864
28	rentcar-g	bn-3.jpg	1050	720	1260	864
29	rentcar-g	mg-1.jpg	790	372	1896	892
30	rentcar-g	mg-2.jpg	790	372	1896	892
31	rentcar-g	mg-3.jpg	790	372	1896	892
32	rentcar-g	mg-4.jpg	790	372	1896	892
33	rentcar-g	fl-1.jpg	400	190	960	456
34	rentcar-g	fl-2.jpg	400	190	960	456
35	rentcar-g	fl-3.jpg	400	190	960	456
36	rentcar-g	fl-4.jpg	400	190	960	456
37	rentcar-g	fl-5.jpg	400	190	960	456
38	rentcar-g	fl-6.jpg	400	190	960	456
39	rentcar-g	fl-7.jpg	400	190	960	456
40	rentcar-g	fl-8.jpg	400	190	960	456
41	rentcar-g	fl-9.jpg	400	190	960	456
42	rentcar-g	fl-10.jpg	400	190	960	456
43	rentcar-g	fl-11.jpg	400	190	960	456
44	rentcar-g	fl-12.jpg	400	190	960	456
