# 소란 풀빌라 — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명 (평균밝기 = 레퍼런스 같은 칸 실측)
sr1	soran	hero-1.jpg	1440	900	2400	1500	메인 히어로 슬라이드 1 — 야외 수영장·독채 전경 · 밝기 145 (ref 145)
sr2	soran	hero-2.jpg	1440	900	2400	1500	메인 히어로 슬라이드 2 — 야외 수영장·독채 전경 · 밝기 151 (ref 151)
sr3	soran	hero-3.jpg	1440	900	2400	1500	메인 히어로 슬라이드 3 — 야외 수영장·독채 전경 · 밝기 146 (ref 146)
sr4	soran	hero-4.jpg	1440	900	2400	1500	메인 히어로 슬라이드 4 — 야외 수영장·독채 전경 · 밝기 104 (ref 104)
sr5	soran	hero-5.jpg	1440	900	2400	1500	메인 히어로 슬라이드 5 — 야외 수영장·독채 전경 · 밝기 139 (ref 139)
sr6	soran	intro-arch.jpg	520	649	1040	1298	메인 소개 아치 마스크 사진 — 거실 인테리어 · 밝기 118 (ref 118)
sr7	soran	room-dalbit.jpg	387	489	774	978	객실 미리보기 카드 1 (DALBIT) — 객실 거실 · 밝기 127 (ref 127)
sr8	soran	room-solsup.jpg	387	489	774	978	객실 미리보기 카드 2 (SOLSUP) — 객실 거실 · 밝기 124 (ref 124)
sr9	soran	room-mulgyeol.jpg	387	489	774	978	객실 미리보기 카드 3 (MULGYEOL) — 객실 거실 · 밝기 146 (ref 146)
sr10	soran	room-noeul.jpg	387	489	774	978	객실 미리보기 카드 4 (NOEUL) — 객실 거실 · 밝기 153 (ref 152)
sr11	soran	room-baram.jpg	387	489	774	978	객실 미리보기 카드 5 (BARAM) — 객실 거실 · 밝기 118 (ref 119)
sr12	soran	visual-main.jpg	1440	970	2400	1617	메인 풀폭 비주얼 — 오브제·가구 클로즈업 · 밝기 144 (ref 143)
sr13	soran	special-art-lounge.jpg	239	313	478	626	스페셜 미리보기 1 (art-lounge) — 세로 카드 · 밝기 148 (ref 149)
sr14	soran	special-small-party.jpg	377	261	754	522	스페셜 미리보기 2 (small-party) — 가로 카드 · 밝기 125 (ref 125)
sr15	soran	special-welcome-kit.jpg	239	313	478	626	스페셜 미리보기 3 (welcome-kit) — 세로 카드 · 밝기 130 (ref 130)
sr16	soran	special-outdoor-pool.jpg	377	261	754	522	스페셜 미리보기 4 (outdoor-pool) — 가로 카드 · 밝기 143 (ref 142)
sr17	soran	special-bbq-terrace.jpg	377	261	754	522	스페셜 미리보기 5 (bbq-terrace) — 가로 카드 · 밝기 97 (ref 98)
sr18	soran	special-private-pool.jpg	239	313	478	626	스페셜 미리보기 6 (private-pool) — 세로 카드 · 밝기 162 (ref 163)
sr19	soran	special-reservation.jpg	377	261	754	522	스페셜 미리보기 7 (reservation) — 가로 카드 · 밝기 140 (ref 140)
sr20	soran	menu-1.jpg	500	425	1000	850	전체메뉴 오버레이 사진 1 (메뉴 항목 호버 시 전환) · 밝기 182 (ref 181)
sr21	soran	menu-2.jpg	500	425	1000	850	전체메뉴 오버레이 사진 2 (메뉴 항목 호버 시 전환) · 밝기 150 (ref 149)
sr22	soran	menu-3.jpg	500	425	1000	850	전체메뉴 오버레이 사진 3 (메뉴 항목 호버 시 전환) · 밝기 142 (ref 142)
sr23	soran	menu-4.jpg	500	425	1000	850	전체메뉴 오버레이 사진 4 (메뉴 항목 호버 시 전환) · 밝기 167 (ref 167)
sr24	soran	menu-5.jpg	500	425	1000	850	전체메뉴 오버레이 사진 5 (메뉴 항목 호버 시 전환) · 밝기 152 (ref 152)
sr25	soran	menu-6.jpg	500	425	1000	850	전체메뉴 오버레이 사진 6 (메뉴 항목 호버 시 전환) · 밝기 168 (ref 169)
sr26	soran	prologue-hero-1.jpg	1440	900	2400	1500	전경 페이지 히어로 슬라이드 1 · 밝기 158 (ref 158)
sr27	soran	prologue-hero-2.jpg	1440	900	2400	1500	전경 페이지 히어로 슬라이드 2 · 밝기 141 (ref 142)
sr28	soran	prologue-hero-3.jpg	1440	900	2400	1500	전경 페이지 히어로 슬라이드 3 · 밝기 122 (ref 122)
sr29	soran	prologue-hero-4.jpg	1440	900	2400	1500	전경 페이지 히어로 슬라이드 4 · 밝기 154 (ref 155)
sr30	soran	prologue-thumb-1.jpg	510	598	1020	1196	전경 소개 사진 슬라이드 1 — 야경 외관 · 밝기 131 (ref 131)
sr31	soran	prologue-thumb-2.jpg	510	598	1020	1196	전경 소개 사진 슬라이드 2 — 야경 외관 · 밝기 101 (ref 102)
sr32	soran	prologue-grid-1.jpg	390	390	780	780	전경 3×2 그리드 사진 1 · 밝기 195 (ref 195)
sr33	soran	prologue-grid-2.jpg	390	390	780	780	전경 3×2 그리드 사진 2 · 밝기 137 (ref 137)
sr34	soran	prologue-grid-3.jpg	390	390	780	780	전경 3×2 그리드 사진 3 · 밝기 90 (ref 90)
sr35	soran	prologue-grid-4.jpg	390	390	780	780	전경 3×2 그리드 사진 4 · 밝기 156 (ref 156)
sr36	soran	room-hero-1.jpg	1440	900	2400	1500	객실 상세 히어로 슬라이드 1 · 밝기 157 (ref 157)
sr37	soran	room-hero-2.jpg	1440	900	2400	1500	객실 상세 히어로 슬라이드 2 · 밝기 162 (ref 162)
sr38	soran	room-hero-3.jpg	1440	900	2400	1500	객실 상세 히어로 슬라이드 3 · 밝기 152 (ref 152)
sr39	soran	room-hero-4.jpg	1440	900	2400	1500	객실 상세 히어로 슬라이드 4 · 밝기 132 (ref 133)
sr40	soran	room-thumb.jpg	399	532	798	1064	객실 상세 좌측 세로 사진 — 소품 · 밝기 201 (ref 201)
sr41	soran	room-slide-1.jpg	755	887	1510	1774	객실 상세 우측 대형 슬라이드 1 · 밝기 150 (ref 150)
sr42	soran	room-slide-2.jpg	755	887	1510	1774	객실 상세 우측 대형 슬라이드 2 · 밝기 128 (ref 128)
sr43	soran	room-slide-3.jpg	755	887	1510	1774	객실 상세 우측 대형 슬라이드 3 · 밝기 150 (ref 150)
sr44	soran	room-img-big.jpg	329	411	658	822	객실 정보 옆 세로 사진 — 가구 · 밝기 113 (ref 114)
sr45	soran	room-img-small.jpg	180	180	360	360	객실 정보 겹침 정사각 사진 — 오브제 · 밝기 149 (ref 149)
sr46	soran	special-hero-1.jpg	1440	900	2400	1500	야외수영장 히어로 슬라이드 1 · 밝기 157 (ref 157)
sr47	soran	special-hero-2.jpg	1440	900	2400	1500	야외수영장 히어로 슬라이드 2 · 밝기 162 (ref 162)
sr48	soran	special-hero-3.jpg	1440	900	2400	1500	야외수영장 히어로 슬라이드 3 · 밝기 122 (ref 122)
sr49	soran	special-wide.jpg	1160	446	2320	892	야외수영장 와이드 사진 — 선베드 · 밝기 139 (ref 139)
sr50	soran	special-list-1.jpg	303	303	606	606	야외수영장 3열 사진 1 (우상단 라운드 80) · 밝기 139 (ref 139)
sr51	soran	special-list-2.jpg	303	303	606	606	야외수영장 3열 사진 2 (우상단 라운드 80) · 밝기 177 (ref 177)
sr52	soran	special-list-3.jpg	303	303	606	606	야외수영장 3열 사진 3 (우상단 라운드 80) · 밝기 140 (ref 140)
sr53	soran	special-visual.jpg	1440	970	2400	1617	야외수영장 풀폭 비주얼 — 수면 클로즈업 · 밝기 156 (ref 156)
sr54	soran	location-top.jpg	1440	680	2400	1133	오시는 길 상단 사진 — 원경 전경 · 밝기 126 (ref 126)
sr55	soran	location-thumb.jpg	300	300	600	600	오시는 길 정사각 사진 (상단 라운드 50) · 밝기 156 (ref 155)
sr56	soran	location-map.jpg	1080	815	2160	1630	오시는 길 지도 자리 (샘플 지도 대체 이미지) · 밝기 236 (ref 234)
sr57	soran	reservation-top.jpg	1440	680	2400	1133	예약 안내 상단 사진 — 수영장 · 밝기 122 (ref 122)
sr58	soran	reservation-thumb-1.jpg	300	300	600	600	예약 안내 정사각 사진 1 (상단 라운드 50) · 밝기 113 (ref 113)
sr59	soran	reservation-thumb-2.jpg	300	300	600	600	예약 안내 정사각 사진 2 (상단 라운드 50) · 밝기 186 (ref 186)
sr60	soran	reservation-guide.jpg	494	346	988	692	이용 안내 가로 사진 (라운드 50 0) · 밝기 141 (ref 141)
sr61	soran	reservation-visual.jpg	1440	970	2400	1617	예약 안내 풀폭 비주얼 — 해 질 녘 수영장 · 밝기 114 (ref 114)
sr62	soran	popup-notice.jpg	400	400	800	800	메인 공지 팝업 이미지 (모바일 312×312) · 밝기 216 (ref 216)
