# 윤슬 풀빌라 (pension-a) — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명
y1	yoonseul	intro-poster.jpg	1440	900	2400	1500	메인 인트로 풀스크린 영상 자리(포스터) — 바다를 향한 인피니티 풀 전경
y2	yoonseul	aerial-1.jpg	1440	900	2400	1500	메인 항공 슬라이드 1 — 단지·해안선 부감
y3	yoonseul	aerial-2.jpg	1440	900	2400	1500	메인 항공 슬라이드 2 — 단지·해안선 부감
y4	yoonseul	aerial-3.jpg	1440	900	2400	1500	메인 항공 슬라이드 3 — 단지·해안선 부감
y5	yoonseul	aerial-4.jpg	1440	900	2400	1500	메인 항공 슬라이드 4 — 단지·해안선 부감
y6	yoonseul	aerial-5.jpg	1440	900	2400	1500	메인 항공 슬라이드 5 — 단지·해안선 부감
y7	yoonseul	special-1.jpg	1440	900	2400	1500	스페셜 슬라이더 1 — 오션뷰 창가 (모바일 2열 카드 겸용)
y8	yoonseul	special-2.jpg	1440	900	2400	1500	스페셜 슬라이더 2 — 개별 풀 (모바일 2열 카드 겸용)
y9	yoonseul	special-3.jpg	1440	900	2400	1500	스페셜 슬라이더 3 — 메인 인피니티 풀 (모바일 2열 카드 겸용)
y10	yoonseul	special-4.jpg	1440	900	2400	1500	스페셜 슬라이더 4 — 포토존 (모바일 2열 카드 겸용)
y11	yoonseul	special-5.jpg	1440	900	2400	1500	스페셜 슬라이더 5 — 카페 라운지 (모바일 2열 카드 겸용)
y12	yoonseul	special-6.jpg	1440	900	2400	1500	스페셜 슬라이더 6 — 바비큐 테라스 (모바일 2열 카드 겸용)
y13	yoonseul	booking-1.jpg	234	310	468	620	예약 소개 콜라주 1 (세로 — 풀사이드 테이블)
y14	yoonseul	booking-2.jpg	329	219	658	438	예약 소개 콜라주 2 (가로 — 햇살 비친 수면)
y15	yoonseul	booking-3.jpg	300	397	600	794	예약 소개 콜라주 3 (세로 — 노을 속 인물 실루엣)
y16	yoonseul	booking-4.jpg	352	235	704	470	예약 소개 콜라주 4 (가로 — 테라스 선베드)
y17	yoonseul	booking-5.jpg	261	174	522	348	예약 소개 콜라주 5 (가로 — 수평선과 난간)
y18	yoonseul	booking-6.jpg	223	149	446	298	예약 소개 콜라주 6 (가로 — 해질녘 거실)
y19	yoonseul	roomview.jpg	720	900	1440	1800	ROOM VIEW 좌측 고정 사진 — 창가에 기대 바다를 보는 인물
y20	yoonseul	room-01.jpg	570	394	1140	788	객실 1 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y21	yoonseul	room-02.jpg	570	394	1140	788	객실 2 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y22	yoonseul	room-03.jpg	570	394	1140	788	객실 3 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y23	yoonseul	room-04.jpg	570	394	1140	788	객실 4 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y24	yoonseul	room-05.jpg	570	394	1140	788	객실 5 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y25	yoonseul	room-06.jpg	570	394	1140	788	객실 6 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y26	yoonseul	room-07.jpg	570	394	1140	788	객실 7 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y27	yoonseul	room-08.jpg	570	394	1140	788	객실 8 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y28	yoonseul	room-09.jpg	570	394	1140	788	객실 9 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y29	yoonseul	room-10.jpg	570	394	1140	788	객실 10 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
